0820007M;Pierre Darasse;college;public;82300;Caussade
0820011S;Antonin Perbosc;college;public;82130;Lafrançaise
0820014V;du Pays de Serres;college;public;82110;Lauzerte
0820017Y;François Mitterrand;college;public;82200;Moissac
0820022D;Jean-Auguste-Dominique Ingres;college;public;82000;Montauban
0820029L;Jean Rostand;college;public;82400;Valence-d'Agen
0820047F;Saint-Joseph;college;prive;82500;Beaumont-de-Lomagne
0820048G;Saint-Antoine;college;prive;82300;Caussade
0820050J;Sainte-Agnès;college;prive;82150;Montaigu-de-Quercy
0820052L;Notre-Dame;college;prive;82000;Montauban
0820053M;Jean De La Valette;college;prive;82160;Parisot
0820066B;Jean De Prades;college;public;82100;Castelsarrasin
0820067C;Théodore Despeyrous;college;public;82500;Beaumont-de-Lomagne
0820072H;Jean Baylet;ecole;public;82340;Dunes
0820077N;des Fontaines;ecole;public;82500;Escazeaux
0820078P;-;ecole;public;82400;Espalais
0820084W;-;ecole;public;82170;Fabas
0820089B;-;ecole;public;82190;Fauroux
0820092E;Jean Lacaze;ecole;public;82700;Finhan
0820100N;-;ecole;public;82120;Gensac
0820106V;-;ecole;public;82400;Goudourville
0820121L;-;ecole;public;82370;Labastide-Saint-Pierre
0820136C;Jean Baylet;ecole;public;82130;Lafrançaise
0820138E;-;ecole;public;82250;Laguépie
0820142J;-;ecole;public;82130;Lamothe-Capdeville
0820150T;Martial Artis;ecole;public;82110;Lauzerte
0820153W;Jules Ferry;ecole;public;82290;La-Ville-Dieu-du-Temple
0820157A;-;ecole;public;82230;Léojac
0820161E;-;ecole;public;82200;Malause
0820165J;-;ecole;public;82120;Marsac
0820167L;-;ecole;public;82600;Mas-Grenier
0820171R;-;ecole;public;82290;Meauzac
0820177X;-;ecole;public;82190;Miramont-de-Quercy
0820178Y;Pierre Chabrie;ecole;public;82200;Moissac
0820187H;Saint-Benoit;ecole;public;82200;Moissac
0820189K;de Mathaly;ecole;public;82200;Moissac
0820193P;La Mégère;ecole;public;82200;Moissac
0820218S;Robert Ligou;ecole;public;82000;Montauban
0820219T;Marcel Guerret;ecole;public;82000;Montauban
0820226A;-;ecole;public;82700;Montbartier
0820230E;Jean Larramet;ecole;public;82700;Montech
0820244V;-;ecole;public;82800;Montricoux
0820251C;-;ecole;public;82370;Orgueil
0820252D;-;ecole;public;82160;Parisot
0820255G;-;ecole;public;82130;Piquecos
0820277F;-;ecole;public;82290;Albefeuille-Lagarde
0820281K;Jean Jaurès;ecole;public;82210;Angeville
0820287S;-;ecole;public;82340;Auvillar
0820289U;-;ecole;public;82340;Bardigues
0820290V;-;ecole;public;82290;Barry-d'Islemade
0820294Z;-;ecole;public;82500;Beaumont-de-Lomagne
0820297C;-;ecole;public;82150;Belvèze
0820301G;-;ecole;public;82800;Bioule
0820305L;Jean Arquie;ecole;public;82600;Bouillac
0820306M;-;ecole;public;82110;Bouloc
0820307N;-;ecole;public;82190;Bourg-de-Visa
0820310S;-;ecole;public;82700;Bourret
0820311T;-;ecole;public;82190;Brassac
0820327K;-;ecole;public;82100;Castelferrus
0820328L;-;ecole;public;82210;Castelmayran
0820331P;Louis Sicre;ecole;public;82100;Castelsarrasin
0820332R;Marie Curie;ecole;public;82100;Castelsarrasin
0820344D;Sabine Sicaud;ecole;public;82100;Castelsarrasin
0820352M;Marcel Pagnol;ecole;public;82300;Caussade
0820353N;Marie Curie;ecole;public;82300;Caussade
0820356S;-;ecole;public;82160;Caylus
0820367D;Antonin Perbosc;ecole;public;82600;Comberouger
0820373K;-;ecole;public;82170;Dieupentale
0820376N;Léo Ferré;ecole;public;82000;Montauban
0820381U;Jules Guesde;ecole;public;82000;Montauban
0820384X;Lalande;ecole;public;82000;Montauban
0820387A;Jean Malrieu;ecole;public;82000;Montauban
0820390D;Jacques Brel - Monplaisir;ecole;public;82000;Montauban
0820395J;Camille Claudel;ecole;public;82000;Montauban
0820399N;Hugues Panassie;ecole;public;82000;Montauban
0820402S;Ferdinand Buisson;ecole;public;82000;Montauban
0820407X;de Birac;ecole;public;82000;Montauban
0820410A;Pierre Gamarra Gasseras;ecole;public;82000;Montauban
0820414E;de Fonneuve;ecole;public;82000;Montauban
0820439G;-;ecole;public;82140;Saint-Antonin-Noble-Val
0820443L;-;ecole;public;82210;Saint-Arroumex
0820449T;-;ecole;public;82410;Saint-Etienne-de-Tulmont
0820470R;-;ecole;public;82700;Saint-Porquier
0820474V;-;ecole;public;82600;Saint-Sardos
0820477Y;-;ecole;public;82400;Saint-Vincent-Lespinasse
0820478Z;de Belmontet;ecole;public;82230;La-Salvetat-Belmontet
0820479A;La Salvetat;ecole;public;82230;La-Salvetat-Belmontet
0820480B;-;ecole;public;82110;Sauveterre
0820484F;Les Sept Fontaines;ecole;public;82240;Septfonds
0820493R;-;ecole;public;82110;Tréjouls
0820500Y;-;ecole;public;82150;Valeilles
0820501Z;Jules Ferry;ecole;public;82400;Valence-d'Agen
0820503B;Gérard Lalanne;ecole;public;82400;Valence-d'Agen
0820518T;-;ecole;public;82600;Verdun-sur-Garonne
0820523Y;-;ecole;public;82370;Villebrumier
0820566V;Saint-Pie X;ecole;prive;82350;Albias
0820567W;Sainte-Lucile;ecole;prive;82500;Beaumont-de-Lomagne
0820570Z;Notre-Dame;ecole;prive;82100;Castelsarrasin
0820572B;Sacré-Coeur;ecole;prive;82300;Caussade
0820573C;Notre-Dame;ecole;prive;82160;Caylus
0820574D;Notre-Dame;ecole;prive;82110;Cazes-Mondenard
0820575E;-;ecole;prive;82700;Finhan
0820576F;Sainte-Marie;ecole;prive;82130;Lafrançaise
0820581L;Jeanne D'Arc;ecole;prive;82200;Moissac
0820583N;-;ecole;prive;82230;Monclar-de-Quercy
0820584P;Sainte-Agnès;ecole;prive;82150;Montaigu-de-Quercy
0820585R;Sainte-Marie - Sainte Famille;ecole;prive;82000;Montauban
0820588U;Olympe De Gouges;college;public;82000;Montauban
0820590W;Saint-Théodard;ecole;prive;82000;Montauban
0820591X;Notre-Dame;ecole;prive;82000;Montauban
0820592Y;-;ecole;prive;82000;Montauban
0820594A;Sainte-Thérèse;ecole;prive;82800;Nègrepelisse
0820595B;Jean De La Valette;ecole;prive;82160;Parisot
0820597D;Saint-Joseph;ecole;prive;82410;Saint-Etienne-de-Tulmont
0820599F;Saint-Joseph;ecole;prive;82210;Saint-Nicolas-de-la-Grave
0820601H;Jeanne D'Arc;ecole;prive;82400;Valence-d'Agen
0820602J;Saint-Joseph;ecole;prive;82330;Varen
0820610T;-;ecole;public;82290;Albefeuille-Lagarde
0820611U;Girondine;ecole;public;82100;Les-Barthes
0820613W;-;ecole;public;82200;Boudou
0820615Y;-;ecole;public;82800;Bruniquel
0820616Z;-;ecole;public;82370;Campsas
0820617A;-;ecole;public;82170;Canals
0820618B;Les Cloutiers;ecole;public;82100;Castelsarrasin
0820621E;-;ecole;public;82390;Durfort-Lacapelette
0820623G;André Candelon;ecole;public;82500;Esparsac
0820624H;-;ecole;public;82500;Faudoas
0820625J;-;ecole;public;82230;Génébrières
0820626K;-;ecole;public;82400;Golfech
0820629N;-;ecole;public;82220;Labarthe
0820631R;-;ecole;public;82290;Lacourt-Saint-Pierre
0820633T;-;ecole;public;82200;Lizac
0820634U;-;ecole;public;82120;Mansonville
0820636W;-;ecole;public;82170;Monbéqui
0820639Z;Le Fau;ecole;public;82000;Montauban
0820640A;Le Carreyrat;ecole;public;82000;Montauban
0820641B;des Farguettes;ecole;public;82000;Montauban
0820642C;de Saint-Hilaire;ecole;public;82000;Montauban
0820643D;de Saint-Martial;ecole;public;82000;Montauban
0820644E;George Sand - Verlhaguet;ecole;public;82000;Montauban
0820645F;-;ecole;public;82200;Montesquieu
0820646G;-;ecole;public;82400;Montjoi
0820647H;-;ecole;public;82400;Pommevic
0820648J;-;ecole;public;82170;Pompignan
0820649K;-;ecole;public;82220;Puycornet
0820653P;-;ecole;public;82150;Saint-Amans-du-Pech
0820654R;-;ecole;public;82300;Saint-Cirq
0820657U;-;ecole;public;82400;Saint-Paul-d'Espis
0820659W;-;ecole;public;82600;Savenès
0820660X;-;ecole;public;82500;Sérignac
0820662Z;-;ecole;public;82190;Touffailles
0820663A;-;ecole;public;82800;Vaïssac
0820665C;-;ecole;public;82370;Varennes
0820666D;-;ecole;public;82130;Villemade
0820670H;-;ecole;public;82370;Nohic
0820671J;Antoine De Saint-Exupéry;ecole;public;82700;Escatalens
0820672K;Jean Moulin;ecole;public;82240;Puylaroque
0820673L;Paul Point;ecole;public;82370;Corbarieu
0820674M;-;ecole;public;82340;Donzac
0820675N;-;ecole;public;82120;Lavit
0820678S;Saint-Roch;college;prive;82390;Durfort-Lacapelette
0820683X;Jean Lacaze;college;public;82170;Grisolles
0820684Y;Jean Jaurès;college;public;82000;Montauban
0820688C;Georges Coulonges - Falguières;ecole;public;82000;Montauban
0820689D;de Courbieu;ecole;public;82100;Castelsarrasin
0820690E;-;ecole;public;82100;Garganvillar
0820691F;Jules Ferry - Cassenel;ecole;public;82100;Castelsarrasin
0820694J;-;ecole;public;82440;Réalville
0820698N;Marcel Pagnol;ecole;public;82000;Montauban
0820701S;-;ecole;public;82600;Aucamville
0820704V;Pierre Bayrou;college;public;82140;Saint-Antonin-Noble-Val
0820710B;Les Chaumes;ecole;public;82000;Montauban
0820711C;-;ecole;public;82330;Varen
0820713E;Pierre Flamens;college;public;82100;Castelsarrasin
0820753Y;Jeanne D'Arc;college;prive;82200;Moissac
0820754Z;-;college;prive;82000;Montauban
0820755A;Saint-Théodard;college;prive;82000;Montauban
0820763J;Sarlac;ecole;public;82200;Moissac
0820765L;-;ecole;public;82800;Nègrepelisse
0820766M;-;ecole;public;82110;Cazes-Mondenard
0820767N;La Rose des Vents;ecole;public;82230;Monclar-de-Quercy
0820773V;-;ecole;public;82400;Castelsagrat
0820774W;Ducau;ecole;public;82100;Castelsarrasin
0820778A;Montebello;ecole;public;82200;Moissac
0820779B;Jean Moulin - Petit Versailles;ecole;public;82000;Montauban
0820780C;-;ecole;public;82370;Reyniès
0820781D;-;ecole;public;82220;Vazerac
0820795U;Jean-Baptiste Ver;ecole;public;82130;Lafrançaise
0820800Z;-;ecole;public;82360;Lamagistère
0820801A;Jean Lafougère;ecole;public;82210;Saint-Nicolas-de-la-Grave
0820802B;-;ecole;public;82220;Molières
0820803C;-;ecole;public;82150;Montaigu-de-Quercy
0820809J;Eugène Laurent;ecole;public;82300;Monteils
0820810K;Pierre Bonhoure;ecole;public;82290;Montbeton
0820814P;Georges Pompidou;ecole;public;82350;Albias
0820820W;Fernand Bales;ecole;public;82000;Montauban
0820823Z;Jean-Jacques Rousseau;college;public;82370;Labastide-Saint-Pierre
0820824A;Jean-Honoré Fragonard;college;public;82800;Nègrepelisse
0820829F;-;ecole;public;82500;Larrazet
0820832J;-;ecole;public;82270;Montpezat-de-Quercy
0820836N;Jacques Prévert;ecole;public;82710;Bressols
0820847A;Georges Brassens;ecole;public;82370;Saint-Nauphary
0820855J;-;ecole;public;82440;Mirabel
0820856K;du Centre;ecole;public;82000;Montauban
0820857L;Le Petit Prince;ecole;public;82100;Labastide-du-Temple
0820860P;Le Grand Cèdre;ecole;public;82170;Grisolles